1,New York,New York,"8,175,133","8,175,133","8,186,443","8,244,910"
2,Los Angeles,California,"3,792,621","3,792,625","3,795,761","3,819,702"
3,Chicago,Illinois,"2,695,598","2,695,598","2,698,283","2,707,120"
4,Houston,Texas,"2,099,451","2,099,430","2,108,278","2,145,146"
5,Philadelphia,Pennsylvania,"1,526,006","1,526,006","1,528,074","1,536,471"
6,Phoenix,Arizona,"1,445,632","1,445,656","1,448,531","1,469,471"
7,San Antonio,Texas,"1,327,407","1,327,606","1,334,431","1,359,758"
8,San Diego,California,"1,307,402","1,307,406","1,311,516","1,326,179"
9,Dallas,Texas,"1,197,816","1,197,816","1,201,715","1,223,229"
10,San Jose,California,"945,942","952,612","955,091","967,487"
11,Jacksonville,Florida,"821,784","821,784","822,883","827,908"
12,Indianapolis city,Indiana,"820,445","820,442","821,708","827,609"
13,Austin,Texas,"790,390","790,390","795,378","820,611"
14,San Francisco,California,"805,235","805,235","805,340","812,826"
15,Columbus,Ohio,"787,033","787,073","788,696","797,434"
16,Fort Worth,Texas,"741,206","742,030","745,231","758,738"
17,Charlotte,North Carolina,"731,424","731,424","734,216","751,087"
18,Detroit,Michigan,"713,777","713,777","711,700","706,585"
19,El Paso,Texas,"649,121","649,152","651,881","665,568"
20,Memphis,Tennessee,"646,889","646,889","647,780","652,050"
21,Boston,Massachusetts,"617,594","617,594","618,147","625,087"
22,Seattle,Washington,"608,660","608,660","610,480","620,778"
23,Denver,Colorado,"600,158","600,008","603,440","619,968"
24,Baltimore,Maryland,"620,961","620,961","620,560","619,493"
25,Washington,District of Columbia,"601,723","601,723","604,912","617,996"
26,Nashville-Davidson metropolitan government,Tennessee,"601,222","601,222","602,537","609,644"
27,Louisville,Kentucky,"597,337","597,337","598,207","602,011"
28,Milwaukee,Wisconsin,"594,833","594,832","595,407","597,867"
29,Portland,Oregon,"583,776","583,776","585,474","593,820"
30,Oklahoma City,Oklahoma,"579,999","580,001","582,352","591,967"
31,Las Vegas,Nevada,"583,756","583,748","584,539","589,317"
32,Albuquerque,New Mexico,"545,852","545,852","547,392","552,804"
33,Tucson,Arizona,"520,116","520,097","521,180","525,796"
34,Fresno,California,"494,665","494,735","496,181","501,362"
35,Sacramento,California,"466,488","466,488","467,575","472,178"
36,Long Beach,California,"462,257","462,257","462,645","465,576"
37,Kansas City,Missouri,"459,787","459,787","460,724","463,202"
38,Mesa,Arizona,"439,041","439,193","440,079","446,518"
39,Virginia Beach,Virginia,"437,994","437,994","439,122","442,707"
40,Atlanta,Georgia,"420,003","420,005","422,387","432,427"
41,Colorado Springs,Colorado,"416,427","416,427","419,745","426,388"
42,Raleigh,North Carolina,"403,892","403,903","406,432","416,468"
43,Omaha,Nebraska,"408,958","408,962","410,170","415,068"
44,Miami,Florida,"399,457","399,457","400,509","408,750"
45,Tulsa,Oklahoma,"391,906","391,901","393,166","396,466"
46,Oakland,California,"390,724","390,724","391,445","395,817"
47,Cleveland,Ohio,"396,815","396,815","396,166","393,806"
48,Minneapolis,Minnesota,"382,578","382,578","383,108","387,753"
49,Wichita,Kansas,"382,368","382,368","383,085","384,445"
50,Arlington,Texas,"365,438","365,438","367,021","373,698"
51,New Orleans,Louisiana,"343,829","343,829","347,907","360,740"
52,Bakersfield,California,"347,483","347,462","348,541","352,428"
53,Tampa,Florida,"335,709","335,709","336,820","346,037"
54,Anaheim,California,"336,265","336,265","337,089","341,361"
55,Urban Honolulu CDP,Hawaii,"337,256","337,256","338,119","340,936"
56,Aurora,Colorado,"325,078","325,078","326,650","332,354"
57,Santa Ana,California,"324,528","324,528","325,321","329,427"
58,St. Louis,Missouri,"319,294","319,294","319,008","318,069"
59,Riverside,California,"303,871","303,871","305,679","310,651"
60,Corpus Christi,Texas,"305,215","305,215","305,349","307,953"
61,Pittsburgh,Pennsylvania,"305,704","305,704","306,956","307,484"
62,Lexington,Kentucky,"295,803","295,803","296,792","301,569"
63,Stockton,California,"291,707","291,707","292,711","296,357"
64,Cincinnati,Ohio,"296,943","296,950","296,797","296,223"
65,Anchorage,Alaska,"291,826","291,826","293,356","295,570"
66,St. Paul,Minnesota,"285,068","285,068","285,414","288,448"
67,Toledo,Ohio,"287,208","287,208","287,031","286,038"
68,Newark,New Jersey,"277,140","277,140","277,185","277,540"
69,Greensboro,North Carolina,"269,666","269,668","270,364","273,425"
70,Plano,Texas,"259,841","259,841","261,888","269,776"
71,Lincoln,Nebraska,"258,379","258,381","259,044","262,341"
72,Buffalo,New York,"261,310","261,310","261,229","261,025"
73,Henderson,Nevada,"257,729","257,581","257,934","260,068"
74,Fort Wayne,Indiana,"253,691","253,691","254,015","255,824"
75,Jersey City,New Jersey,"247,597","247,597","247,876","250,323"
76,Chula Vista,California,"243,916","243,916","244,710","247,535"
77,St. Petersburg,Florida,"244,769","244,769","244,683","244,997"
78,Orlando,Florida,"238,300","238,304","238,902","243,195"
79,Norfolk,Virginia,"242,803","242,803","242,915","242,628"
80,Laredo,Texas,"236,091","236,100","237,252","241,935"
81,Chandler,Arizona,"236,123","236,139","236,619","240,101"
82,Madison,Wisconsin,"233,209","233,209","233,732","236,901"
83,Lubbock,Texas,"229,573","229,573","230,713","233,740"
84,Durham,North Carolina,"228,330","228,329","229,027","233,252"
85,Winston-Salem,North Carolina,"229,617","229,617","230,077","232,385"
86,Garland,Texas,"226,876","226,876","227,559","231,517"
87,Glendale,Arizona,"226,721","226,724","227,180","230,482"
88,Baton Rouge,Louisiana,"229,493","229,493","229,852","230,139"
89,Hialeah,Florida,"224,669","224,669","225,269","229,969"
90,Reno,Nevada,"225,221","225,229","225,717","227,511"
91,Chesapeake,Virginia,"222,209","222,209","223,052","225,050"
92,Scottsdale,Arizona,"217,385","217,385","217,826","221,020"
93,Irving,Texas,"216,290","216,290","216,942","220,702"
94,North Las Vegas,Nevada,"216,961","216,940","217,236","219,020"
95,Fremont,California,"214,089","214,089","214,490","216,916"
96,Irvine,California,"212,375","212,375","212,886","215,529"
97,San Bernardino,California,"209,924","209,947","210,638","213,012"
98,Birmingham,Alabama,"212,237","212,244","212,225","212,413"
99,Gilbert town,Arizona,"208,453","208,453","208,876","211,951"
100,Rochester,New York,"210,565","210,565","210,578","210,855"
101,Boise City,Idaho,"205,671","205,671","206,252","210,145"
102,Spokane,Washington,"208,916","208,916","209,296","210,103"
103,Montgomery,Alabama,"205,764","205,771","206,083","208,182"
104,Des Moines,Iowa,"203,433","203,433","204,191","206,599"
105,Richmond,Virginia,"204,214","204,214","204,159","205,533"
106,Fayetteville,North Carolina,"200,564","200,564","201,022","203,945"
107,Modesto,California,"201,165","201,165","201,541","202,751"
108,Shreveport,Louisiana,"199,311","199,311","199,819","200,975"
109,Tacoma,Washington,"198,397","198,397","198,434","200,678"
110,Oxnard,California,"197,899","197,899","198,412","199,943"
111,Aurora,Illinois,"197,899","197,897","198,288","199,672"
112,Fontana,California,"196,069","196,069","196,737","199,028"
113,Akron,Ohio,"199,110","199,110","199,005","198,402"
114,Moreno Valley,California,"193,365","193,365","194,557","197,838"
115,Yonkers,New York,"195,976","195,979","196,223","197,399"
116,Augusta,Georgia,"195,844","195,844","196,175","196,494"
117,Little Rock,Arkansas,"193,524","193,524","193,944","195,314"
118,Mobile,Alabama,"195,111","195,107","195,166","194,914"
119,Columbus,Georgia,"189,885","189,885","190,371","194,107"
120,Amarillo,Texas,"190,695","190,695","191,398","193,675"
121,Glendale,California,"191,719","191,719","191,883","193,111"
122,Huntington Beach,California,"189,992","189,992","190,460","192,888"
123,Salt Lake City,Utah,"186,440","186,443","187,082","189,899"
124,Grand Rapids,Michigan,"188,040","188,041","188,166","189,815"
125,Tallahassee,Florida,"181,376","181,376","181,626","182,965"
126,Huntsville,Alabama,"180,105","180,120","180,829","182,956"
127,Worcester,Massachusetts,"181,045","181,045","181,208","181,631"
128,Knoxville,Tennessee,"178,874","178,874","179,225","180,761"
129,Newport News,Virginia,"180,719","180,719","180,618","179,611"
130,Grand Prairie,Texas,"175,396","175,396","175,994","179,100"
131,Brownsville,Texas,"175,023","175,027","175,764","178,430"
132,Providence,Rhode Island,"178,042","178,042","178,077","178,053"
133,Santa Clarita,California,"176,320","176,320","176,469","177,601"
134,Overland Park,Kansas,"173,372","173,372","173,870","176,185"
135,Jackson,Mississippi,"173,514","173,516","173,707","175,561"
136,Garden Grove,California,"170,883","170,883","171,302","173,470"
137,Chattanooga,Tennessee,"167,674","167,978","168,393","170,136"
138,Oceanside,California,"167,086","167,086","167,630","169,569"
139,Santa Rosa,California,"167,815","167,821","168,109","169,292"
140,Fort Lauderdale,Florida,"165,521","165,521","165,900","168,528"
141,Rancho Cucamonga,California,"165,269","165,269","165,823","167,721"
142,Ontario,California,"163,924","163,924","164,482","166,390"
143,Port St. Lucie,Florida,"164,603","164,603","165,166","166,149"
144,Vancouver,Washington,"161,791","161,807","162,432","164,759"
145,Tempe,Arizona,"161,719","161,719","162,029","164,268"
146,Springfield,Missouri,"159,498","159,509","159,634","160,660"
147,Lancaster,California,"156,633","156,633","156,743","157,693"
148,Pembroke Pines,Florida,"154,750","154,750","155,109","157,594"
149,Cape Coral,Florida,"154,305","154,305","154,734","157,476"
150,Eugene,Oregon,"156,185","156,191","156,260","156,929"
151,Peoria,Arizona,"154,065","154,067","154,378","156,637"
152,Sioux Falls,South Dakota,"153,888","153,890","154,443","156,592"
153,Salem,Oregon,"154,637","154,637","155,029","156,244"
154,Corona,California,"152,374","152,374","153,314","155,896"
155,Elk Grove,California,"153,015","153,015","153,377","154,908"
156,Palmdale,California,"152,750","152,750","152,880","153,867"
157,Springfield,Massachusetts,"153,060","153,060","153,134","153,155"
158,Salinas,California,"150,441","150,441","150,929","152,994"
159,Pasadena,Texas,"149,043","149,043","149,661","152,281"
160,Rockford,Illinois,"152,871","152,871","152,807","152,222"
161,Pomona,California,"149,058","149,058","149,182","150,119"
162,Joliet,Illinois,"147,433","147,440","147,745","148,402"
163,Fort Collins,Colorado,"143,986","143,991","144,425","146,762"
164,Torrance,California,"145,438","145,438","145,561","146,493"
165,Kansas City,Kansas,"145,786","145,786","146,070","146,453"
166,Paterson,New Jersey,"146,199","146,199","146,309","146,427"
167,Hayward,California,"144,186","144,186","144,451","146,069"
168,Escondido,California,"143,911","143,911","144,375","146,032"
169,Bridgeport,Connecticut,"144,229","144,229","144,463","145,638"
170,Syracuse,New York,"145,170","145,170","145,237","145,151"
171,Lakewood,Colorado,"142,980","142,980","143,224","144,406"
